timestamp,turn,nation,decision,rule_used,low_fuel_ratio,game_phase,total_units,commanders_count,reasoning,context
2025-09-19T22:34:26.114803,,Niemcy,HOLD,econ<MIN_BUY,0.0,0.1,20,2,Za mało punktów – oszczędzam | Faza: BUILD (rozbudowa armii),"{""units"": 20, ""fuel_ratio"": 0.0, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
2025-09-19T22:38:30.839132,,Niemcy,COMBO,strategic_combo_ROZWÓJ,0.05263157894736842,0.1,19,2,Strategia ROZWÓJ – kombinacja alokacji i zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 19, ""fuel_ratio"": 0.05263157894736842, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-19T22:49:36.418397,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.5882352941176471,0.1,17,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 17, ""fuel_ratio"": 0.5882352941176471, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-19T22:57:00.988740,,Niemcy,COMBO,strategic_combo_ROZWÓJ,0.0,0.1,16,2,Strategia ROZWÓJ – kombinacja alokacji i zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 16, ""fuel_ratio"": 0.0, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-19T23:01:02.961868,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.625,0.1,16,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 16, ""fuel_ratio"": 0.625, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-19T23:01:08.529436,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.6875,0.1,16,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 16, ""fuel_ratio"": 0.6875, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-19T23:01:13.924659,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.625,0.1,16,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 16, ""fuel_ratio"": 0.625, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-19T23:01:19.005593,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.6875,0.1,16,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 16, ""fuel_ratio"": 0.6875, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-19T23:01:24.566502,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.6875,0.1,16,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 16, ""fuel_ratio"": 0.6875, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-19T23:01:30.024738,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.6875,0.1,16,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 16, ""fuel_ratio"": 0.6875, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
