timestamp,turn,nation,decision,rule_used,low_fuel_ratio,game_phase,total_units,commanders_count,reasoning,context
2025-08-25T23:14:12.103467,,Niemcy,COMBO,strategic_combo_ROZWÓJ,0.0,0.1,26,2,Strategia ROZWÓJ – kombinacja alokacji i zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 26, ""fuel_ratio"": 0.0, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
2025-08-25T23:14:12.139849,1,Niemcy,ORDERS_ISSUED_EXPANSION,phase_0.1_vp_0,0.0,0.1,26,2,Issued SECURE_KEYPOINT orders to all commanders,"{""units"": 26, ""fuel_ratio"": 0.0, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
2025-08-25T23:14:13.297685,,Niemcy,COMBO,strategic_combo_ROZWÓJ,0.15384615384615385,0.1,26,2,Strategia ROZWÓJ – kombinacja alokacji i zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 26, ""fuel_ratio"": 0.15384615384615385, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
2025-08-25T23:14:13.327079,1,Niemcy,ORDERS_ISSUED_EXPANSION,phase_0.1_vp_0,0.15384615384615385,0.1,26,2,Issued SECURE_KEYPOINT orders to all commanders,"{""units"": 26, ""fuel_ratio"": 0.15384615384615385, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
2025-08-25T23:14:14.533029,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.6153846153846154,0.1,26,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 26, ""fuel_ratio"": 0.6153846153846154, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
2025-08-25T23:14:14.553518,1,Niemcy,ORDERS_ISSUED_EXPANSION,phase_0.1_vp_0,0.6153846153846154,0.1,26,2,Issued SECURE_KEYPOINT orders to all commanders,"{""units"": 26, ""fuel_ratio"": 0.6153846153846154, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
2025-08-25T23:14:16.011433,,Niemcy,ALLOCATE,strategic_allocate_KRYZYS_PALIWA,0.6923076923076923,0.1,26,2,Strategia KRYZYS PALIWA – focus na uzupełnienia | Faza: BUILD (rozbudowa armii),"{""units"": 26, ""fuel_ratio"": 0.6923076923076923, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
2025-08-25T23:14:16.026410,1,Niemcy,ORDERS_ISSUED_EXPANSION,phase_0.1_vp_0,0.6923076923076923,0.1,26,2,Issued SECURE_KEYPOINT orders to all commanders,"{""units"": 26, ""fuel_ratio"": 0.6923076923076923, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
2025-08-25T23:14:17.434990,,Niemcy,ALLOCATE,strategic_allocate_KRYZYS_PALIWA,0.7307692307692307,0.1,26,2,Strategia KRYZYS PALIWA – focus na uzupełnienia | Faza: BUILD (rozbudowa armii),"{""units"": 26, ""fuel_ratio"": 0.7307692307692307, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
2025-08-25T23:14:17.453215,1,Niemcy,ORDERS_ISSUED_EXPANSION,phase_0.1_vp_0,0.7307692307692307,0.1,26,2,Issued SECURE_KEYPOINT orders to all commanders,"{""units"": 26, ""fuel_ratio"": 0.7307692307692307, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
2025-08-25T23:14:19.008867,,Niemcy,ALLOCATE,strategic_allocate_KRYZYS_PALIWA,0.7692307692307693,0.1,26,2,Strategia KRYZYS PALIWA – focus na uzupełnienia | Faza: BUILD (rozbudowa armii),"{""units"": 26, ""fuel_ratio"": 0.7692307692307693, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
