timestamp,turn,nation,pe_start,pe_allocated,pe_spent_purchases,pe_total_used,pe_remaining,strategy_used,vp_own,vp_enemy,vp_status
2025-08-22T21:11:34.838063,<Mock name='mock.turn_number' id='1350231394304'>,Polska,500,100,0,100,400,COMBO,120,0,120
2025-08-22T21:11:34.847352,<Mock name='mock.turn_number' id='1350231394304'>,Polska,500,100,0,100,400,COMBO,120,0,120
2025-08-22T21:11:34.855654,<Mock name='mock.turn_number' id='1350231394304'>,Polska,500,100,0,100,400,COMBO,120,0,120
2025-08-22T21:11:34.865016,<Mock name='mock.turn_number' id='1350231394304'>,Polska,500,100,0,100,400,COMBO,120,0,120
2025-08-22T21:11:34.870763,<Mock name='mock.turn_number' id='1350231394304'>,Polska,500,100,0,100,400,COMBO,120,0,120
2025-08-22T21:11:34.879709,<Mock name='mock.turn_number' id='1350231394304'>,Polska,500,100,0,100,400,COMBO,120,0,120
2025-08-22T21:11:34.882177,<Mock name='mock.turn_number' id='1350231394304'>,Polska,500,100,0,100,400,COMBO,120,0,120
2025-08-22T21:11:34.882177,<Mock name='mock.turn_number' id='1350231394304'>,Polska,500,100,0,100,400,COMBO,120,0,120
2025-08-22T21:11:34.896117,<Mock name='mock.turn_number' id='1350231394304'>,Polska,500,100,0,100,400,COMBO,120,0,120
2025-08-22T21:11:34.896117,<Mock name='mock.turn_number' id='1350231394304'>,Polska,500,100,0,100,400,COMBO,120,0,120
