timestamp,turn,nation,decision,rule_used,low_fuel_ratio,game_phase,total_units,commanders_count,reasoning,context
2025-09-11T23:20:08.098645,,Niemcy,HOLD,insufficient_budget,0.0,0.1,29,2,Niewystarczający budżet na żadną akcję | Faza: BUILD (rozbudowa armii),"{""units"": 29, ""fuel_ratio"": 0.0, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
2025-09-11T23:29:10.947337,,Niemcy,COMBO,strategic_combo_ROZWÓJ,0.0,0.1,29,2,Strategia ROZWÓJ – kombinacja alokacji i zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 29, ""fuel_ratio"": 0.0, ""phase"": ""WCZESNA"", ""vp_situation"": ""REMIS""}"
2025-09-11T23:36:45.290464,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.2962962962962963,0.1,27,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 27, ""fuel_ratio"": 0.2962962962962963, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-11T23:46:24.769364,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.2916666666666667,0.1,24,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 24, ""fuel_ratio"": 0.2916666666666667, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-11T23:54:17.295661,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.3181818181818182,0.1,22,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 22, ""fuel_ratio"": 0.3181818181818182, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-12T00:00:47.686637,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.29411764705882354,0.1,17,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 17, ""fuel_ratio"": 0.29411764705882354, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-12T00:03:39.170754,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.5,0.1,14,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 14, ""fuel_ratio"": 0.5, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-12T00:06:51.903833,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.6923076923076923,0.1,13,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 13, ""fuel_ratio"": 0.6923076923076923, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-12T00:09:18.223639,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.6,0.1,10,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 10, ""fuel_ratio"": 0.6, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-12T00:12:26.658948,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.6666666666666666,0.1,9,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 9, ""fuel_ratio"": 0.6666666666666666, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-12T00:14:37.531201,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.6666666666666666,0.1,9,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 9, ""fuel_ratio"": 0.6666666666666666, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-12T00:17:33.584344,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.75,0.1,8,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 8, ""fuel_ratio"": 0.75, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-12T00:20:41.235138,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.5,0.1,6,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 6, ""fuel_ratio"": 0.5, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
2025-09-12T00:24:18.442860,,Niemcy,COMBO,strategic_combo_KRYZYS_PALIWA,0.6666666666666666,0.1,3,2,Strategia KRYZYS PALIWA – priorytet uzupełnień + minimum zakupów | Faza: BUILD (rozbudowa armii),"{""units"": 3, ""fuel_ratio"": 0.6666666666666666, ""phase"": ""WCZESNA"", ""vp_situation"": ""PRZEGRYWAMY""}"
