data_czas,tura,nacja,typ_informacji,wiarygodnosc_zrodla,swiezosc_informacji,wykryte_jednostki_wroga,przewidziane_ruchy_wroga,zmiana_oceny_zagrozenia,wykryty_kontrwywiad,prawdopodobienstwo_niespodzianki,luki_informacyjne,poziom_pewnosci_wywiadu,przydatne_informacje,wymiana_informacji,dokladnosc_przewidywan_historyczna,rozpoznanie_wzorcow_wroga,prawdopodobienstwo_oszustwa
2025-09-19 23:10:09,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-19 23:10:11,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-19 23:10:14,N/A,Niemcy,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-19 23:10:14,N/A,Niemcy,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-19 23:10:28,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-19 23:10:30,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-19 23:10:32,N/A,Niemcy,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-19 23:10:33,N/A,Niemcy,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-19 23:10:45,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-19 23:10:46,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-19 23:10:48,N/A,Niemcy,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-19 23:10:49,N/A,Niemcy,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
