timestamp,nation,action,econ_before,econ_after,allocated_total,units_bought,rule,metrics_json
2025-08-22T21:03:00,<Mock name='mock.current_player_obj.nation' id='1821670327408'>,HOLD,0,0,0,0,econ<MIN_BUY,"{""econ"": 0, ""own_units"": 0, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 1.0, ""vp_status"": 0, ""phase_name"": ""UNKNOWN"", ""rule"": ""econ<MIN_BUY""}"
2025-08-22T21:03:17,<Mock name='mock.current_player_obj.nation' id='2022454377552'>,HOLD,0,0,0,0,econ<MIN_BUY,"{""econ"": 0, ""own_units"": 0, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 1.0, ""vp_status"": 0, ""phase_name"": ""UNKNOWN"", ""rule"": ""econ<MIN_BUY""}"
2025-08-22T21:03:17,Polska,COMBO,100,100,40,0,strategic_combo_EKSPANSJA,"{""econ"": 100, ""own_units"": 12, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""EKSPANSJA"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.35, ""purchase"": 0.45}, ""game_phase"": 1.2, ""vp_status"": 15, ""phase_name"": ""ŚREDNIA"", ""rule"": ""strategic_combo_EKSPANSJA"", ""allocate_budget"": 35, ""purchase_budget"": 45}"
2025-08-22T21:03:54,<Mock name='mock.current_player_obj.nation' id='1930194822800'>,HOLD,0,0,0,0,econ<MIN_BUY,"{""econ"": 0, ""own_units"": 0, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 1.0, ""vp_status"": 0, ""phase_name"": ""UNKNOWN"", ""rule"": ""econ<MIN_BUY""}"
2025-08-22T21:03:54,Polska,COMBO,100,100,40,0,strategic_combo_EKSPANSJA,"{""econ"": 100, ""own_units"": 12, ""low_fuel_ratio"": 0.167, ""strategy_name"": ""EKSPANSJA"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.35, ""purchase"": 0.45}, ""game_phase"": 1.2, ""vp_status"": 15, ""phase_name"": ""ŚREDNIA"", ""rule"": ""strategic_combo_EKSPANSJA"", ""allocate_budget"": 35, ""purchase_budget"": 45}"
2025-08-22T21:04:18,<Mock name='mock.current_player_obj.nation' id='2752542244112'>,HOLD,0,0,0,0,econ<MIN_BUY,"{""econ"": 0, ""own_units"": 0, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 1.0, ""vp_status"": 0, ""phase_name"": ""UNKNOWN"", ""rule"": ""econ<MIN_BUY""}"
2025-08-22T21:04:18,Polska,COMBO,100,100,40,0,strategic_combo_EKSPANSJA,"{""econ"": 100, ""own_units"": 12, ""low_fuel_ratio"": 0.167, ""strategy_name"": ""EKSPANSJA"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.35, ""purchase"": 0.45}, ""game_phase"": 1.2, ""vp_status"": 15, ""phase_name"": ""ŚREDNIA"", ""rule"": ""strategic_combo_EKSPANSJA"", ""allocate_budget"": 35, ""purchase_budget"": 45}"
2025-08-22T21:04:18,Polska,COMBO,100,100,35,0,strategic_combo_EKSPANSJA,"{""econ"": 100, ""own_units"": 12, ""low_fuel_ratio"": 0.167, ""strategy_name"": ""EKSPANSJA"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.35, ""purchase"": 0.45}, ""game_phase"": 1.2, ""vp_status"": 15, ""phase_name"": ""ŚREDNIA"", ""rule"": ""strategic_combo_EKSPANSJA"", ""allocate_budget"": 35, ""purchase_budget"": 45}"
2025-08-22T21:04:18,Polska,COMBO,200,200,120,0,strategic_combo_DESPERACJA,"{""econ"": 200, ""own_units"": 12, ""low_fuel_ratio"": 0.1, ""strategy_name"": ""DESPERACJA"", ""budget_ratios"": {""reserve"": 0.1, ""allocate"": 0.25, ""purchase"": 0.65}, ""game_phase"": 2.1, ""vp_status"": -10, ""phase_name"": ""PÓŹNA"", ""rule"": ""strategic_combo_DESPERACJA"", ""allocate_budget"": 50, ""purchase_budget"": 130}"
2025-08-22T21:06:05,<Mock name='mock.current_player_obj.nation' id='1263742959008'>,HOLD,0,0,0,0,econ<MIN_BUY,"{""econ"": 0, ""own_units"": 0, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 1.0, ""vp_status"": 0, ""phase_name"": ""UNKNOWN"", ""rule"": ""econ<MIN_BUY""}"
